Designator,Footprint,Quantity,Value,LCSC Part #
"BROWSE1, CHORDCV1, DISPERSION1, DISPPATT1, ENV1, ENV2, ENV3, ENV4, ENV5, ENV6, LAT1, LFO1, OUT-1, OUT-2, RADIUS1, SPHERE1, WTSPREAD1",PJ301M-12,17,PJ301-M12,
"C1, C10, C107, C11, C110, C112, C113, C115, C116, C12, C121, C122, C127, C128, C13, C133, C134, C135, C137, C138, C139, C140, C141, C142, C143, C144, C145, C146, C147, C148, C149, C15, C150, C151, C152, C153, C154, C155, C156, C157, C159, C16, C161, C162, C163, C164, C165, C166, C167, C17, C18, C20, C22, C23, C24, C25, C26, C27, C3, C30, C31, C34, C35, C36, C37, C38, C39, C40, C41, C42, C46, C5, C50, C52, C53, C57, C59, C6, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C70, C71, C73, C74, C75, C76, C77, C80, C81, C82, C83, C9, C91, C92, C93, C99",C0603,104,0.1uF,
"C100, C101, C105, C106, C108, C109, C158, C160, C87, C97, C98",C0603,11,1uF,
"C102, C103, C104, C2, C94, C95, C96",C0603,7,1.5nF,
"C111, C114, C117, C118, C119, C120, C123, C124, C125, C126, C129, C130, C131, C132, C44, C45, C72, C86",C0603,18,10nF,
"C136, C168, C169, C170, C171, C172, C19, C43, C48, C49, C7, C84, C85, C88, C89, C90",C0603,16,1nF,
"C14, C28, C29",C0603,3,2.2uF,
"C21, C4, C47, C56, C58, C8",CP_Elec_5x5.3,6,47uF,
"C32, C33, C54, C55",C0603,4,18pF,
"C51, C79",C0603,2,10uF/10V,
C78,C1206,1,10uF/25V,
"CLKLED1, LED-INCLIP1, LED-LFO1, LED-WTO1, LED-WTO2, LED-WTO3, LED-WTO4, LED-WTO5, LED-WTO6, LED1, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED2, LED20, LED21, LED22, LED23, LED24, LED3, LED4, LED5, LED6, LED7, LED8, LED9",LED_PLCC-4,33,LED-RGB-CA-HEBEI,
"CLOCKIN1, IN-1, TRANSPOSE1, VOCTCH1, VOCTCH2, VOCTCH3, VOCTCH4, VOCTCH5, VOCTCH6",PJ301M-12,9,STEREO-GREEN,
"D1, D10, D11, D12, D14, D15, D16, D17, D18, D2, D20, D21, D22, D23, D3, D4, D5, D6, D7, D8, D9",SOT23,21,BAT54S,
"D13, D19",SMA_Standard,2,B140-E3,
ENC1,ENC_SPST_12mm_NUDGED,1,ROTENC-BUTTON-A,
"FINE/SCALE1, LFO_SHAPE/PHASE1, LFO_SPEED/RANGE1, LOAD_PRESET/SAVE1, TRANSPOSE/CHORD1",ENC_SPST_12mm_NUDGED,5,ENCODER,
H1,CONN-2x10-SMT-127,1,TRACE-20,
IC10,TO-252-2,1,LD1117ADT33TR,
"IC11, U14, U16, U18, U19, U20, U21, U24",SOT-23-5,8,TLV171,
"IC12, IC13, IC6, IC8, IC9",TSSOP-8_4.4x3mm_Pitch0.65mm,5,TL082,
"IC2, IC3, IC4, IC5",TSSOP-8_4.4x3mm_Pitch0.65mm,4,NJM2068,
"IC7, U23",SOT-89-3,2,MCP1703x-3302E/MB,
J1,Pins_1x03_2.54mm_TH,1,HEADER-1X3-TH,
J2,HEADER-2X8-TH_eagle_pinout,1,HEADER-2X8-TH,
J3,Pins_2x04_2.54mm_TH,1,Conn_02x04_Odd_Even,
L2,R0603,1,BEAD,
"LATITUDE/DISPERSION_PAT1, LONGITUDE/WT_SPREAD1, RADIUS/DISPERSION1",ENC_RGB_SPST_12mm_NUDGED,3,RGBENC,
"LFOGATERGBBUT1, LFOVCARGBBUT1, LOCK1, LOCK2, LOCK3, LOCK4, LOCK5, LOCK6",RGB-SPST-LED-TC002,8,SPST-ILLUM-RGB,
"PAD1, PAD2, PAD3, PAD4",PAD-06,4,~,
"R1, R127, R128, R130, R169, R172, R189, R190, R194, R201, R295, R80, R81, R84, R86, R88, R90",R0603,17,100k,
"R10, R100, R101, R102, R105, R106, R107, R108, R109, R11, R110, R111, R112, R113, R114, R117, R119, R12, R121, R123, R126, R13, R131, R132, R133, R134, R135, R136, R137, R138, R139, R14, R140, R141, R142, R143, R144, R145, R146, R147, R148, R149, R15, R150, R151, R152, R153, R154, R155, R156, R157, R158, R159, R160, R161, R162, R163, R164, R165, R168, R170, R171, R173, R174, R175, R176, R177, R178, R179, R180, R181, R182, R184, R192, R193, R195, R196, R202, R203, R204, R205, R206, R207, R208, R209, R21, R210, R211, R212, R213, R214, R215, R216, R22, R23, R231, R24, R265, R266, R29, R297, R298, R299, R3, R30, R300, R301, R302, R31, R4, R46, R47, R48, R49, R51, R53, R55, R57, R6, R67, R68, R69, R7, R70, R71, R72, R73, R77, R78, R79, R8, R94, R95, R96, R97, R98, R99",R0603,137,1k,
"R103, R167, R188, R244, R245, R246, R250, R290, R291, R292, R293",R0603,11,49.9,
