Designator,Mid X,Mid Y,Rotation,Layer
BROWSE1,89.74,34.5106,270.0,bottom
C1,119.42936,34.902401,270.0,top
C10,41.9,70.16,180.0,top
C100,86.19812,76.1326,0.0,top
C101,86.24812,77.7426,0.0,top
C102,29.82,72.92,270.0,top
C103,33.11,72.92,270.0,top
C104,34.76,72.92,270.0,top
C105,28.14,81.77,0.0,top
C106,27.66,79.43,270.0,top
C107,26.08,79.43,270.0,top
C108,36.07,76.06,0.0,top
C109,36.07,77.71,0.0,top
C11,26.39584,43.03472,0.0,top
C110,122.05,10.2,270.0,top
C111,123.02,4.762,270.0,top
C112,124.86,82.28,0.0,top
C113,124.86,72.58,0.0,top
C114,121.02,4.762,270.0,top
C115,6.89,105.61,90.0,top
C116,92.92,10.2,270.0,top
C117,7.54,100.22,270.0,top
C118,93.92,4.762,270.0,top
C119,9.26,100.22,270.0,top
C12,41.03,79.51,180.0,top
C120,91.92,4.762,270.0,top
C121,122.36,56.7,270.0,top
C122,37.41,10.2,270.0,top
C123,123.36,51.752,270.0,top
C124,38.598,4.762,270.0,top
C125,121.36,51.752,270.0,top
C126,36.312,4.762,270.0,top
C127,8.354,57.7,270.0,top
C128,8.55,10.2,270.0,top
C129,9.354,51.95,270.0,top
C13,78.148,90.886,0.0,top
C130,9.642,4.762,270.0,top
C131,7.354,51.95,270.0,top
C132,7.356,4.762,270.0,top
C133,57.394,13.652,90.0,top
C134,78.984,11.366,0.0,top
C135,111.65,18.21,90.0,top
C136,117.11,46.14,0.0,top
C137,106.62,18.21,270.0,top
C138,126.57,48.56,270.0,top
C139,119.52,42.6,0.0,top
C14,9.9,30.4,270.0,top
C140,70.01,44.3,180.0,top
C141,63.89,49.15,90.0,top
C142,4.93,47.53,0.0,top
C143,9.94,47.53,180.0,top
C144,109.85516,66.03188,180.0,top
C145,106.28392,64.21832,180.0,top
C146,54.83,66.03,180.0,top
C147,51.39,64.1,180.0,top
C148,37.836,65.976,180.0,top
C149,34.28,64.198,180.0,top
C15,78.148,89.236,0.0,top
C150,93.37,65.95,180.0,top
C151,89.84,64.17,180.0,top
C152,21.834,65.976,180.0,top
C153,18.278,64.198,180.0,top
C154,76.85,66.01,180.0,top
C155,73.42,64.3,180.0,top
C156,1.57,81.34,90.0,top
C157,1.57,84.32,270.0,top
C158,81.87,83.1,0.0,top
C159,81.87,81.52,0.0,top
C16,91.13,102.85,180.0,top
C160,31.16,82.52,0.0,top
C161,31.160571,80.9455,0.0,top
C162,80.07112,97.48216,270.0,bottom
C163,47.76,99.07,90.0,top
C164,48.43,73.03,180.0,top
C165,54.48,98.5,0.0,top
C166,69.25,94.91,270.0,top
C167,59.426,98.488,0.0,top
C168,13.9,44.01,90.0,top
C169,72.29,48.56,90.0,top
C17,23.68,26.11,90.0,top
C170,60.42,43.62,0.0,top
C171,1.61,46.78,90.0,top
C172,128.83,44.32,0.0,top
C18,31.76032,43.18204,0.0,top
C19,50.38106,78.44994,90.0,bottom
C2,27.0,75.35,180.0,top
C20,35.79,32.61,180.0,top
C21,34.7,28.79,0.0,top
C22,69.19,82.51,270.0,top
C23,69.18,87.79,270.0,top
C24,60.01,73.03,180.0,top
C25,54.99,73.03,180.0,top
C26,70.76,81.62,90.0,top
C27,43.91,86.73,90.0,top
C28,69.97,92.61,0.0,top
C29,63.16,78.46,90.0,bottom
C3,91.2268,97.5863,0.0,top
C30,74.62,102.85,180.0,top
C31,18.532,7.37312,180.0,top
C32,38.53196,83.46136,90.0,top
C33,41.02,81.14,0.0,top
C34,107.64,102.85,180.0,top
C35,20.01,102.85,180.0,top
C36,50.965,67.28,270.0,top
C37,53.03,102.85,180.0,top
C38,49.3,67.29,270.0,top
C39,36.52,102.85,180.0,top
C4,108.97124,92.36152,90.0,top
C40,47.72,67.28,270.0,top
C41,81.9812,92.0872,90.0,bottom
C42,46.14434,67.24854,270.0,top
C43,49.30238,83.7477,180.0,bottom
C44,63.3927,82.29924,0.0,bottom
C45,63.39094,83.86014,0.0,bottom
C46,88.37692,80.30414,180.0,top
C47,109.25572,83.98424,90.0,top
C48,51.95,78.45,90.0,bottom
C49,49.31,80.70954,180.0,bottom
C5,120.99,31.28,270.0,top
C50,15.16,16.63,0.0,top
C51,41.91,71.82,180.0,top
C52,97.41,34.35,90.0,top
C53,98.99,34.35,270.0,top
C54,4.3334,39.9029,0.0,top
C55,11.64,35.13,270.0,top
C56,108.97632,75.5518,270.0,top
C57,108.14828,69.80632,270.0,top
C58,27.676,28.13,270.0,top
C59,65.07496,29.6413,0.0,top
C6,1.895,31.6225,270.0,top
C60,107.76,54.88,180.0,top
C61,43.52,53.02,180.0,top
C62,81.24,109.45,270.0,top
C63,30.35,97.19,0.0,top
C64,43.79484,79.92314,270.0,top
C65,100.41,100.29,180.0,top
C66,86.48,102.79,90.0,top
C67,69.88,102.84,90.0,top
C68,50.04,102.86,0.0,top
C69,34.4,100.3,180.0,top
C7,115.306,94.932,0.0,top
C70,20.4,97.78,270.0,top
C71,120.64,106.94,180.0,top
C72,120.85,99.02,270.0,top
C73,38.41512,76.93356,270.0,top
C74,30.92,13.92,0.0,top
C75,117.81,80.9,270.0,top
C76,15.798219,27.554173,270.0,top
C77,30.92,18.92,180.0,top
C78,93.54836,84.37068,90.0,top
C79,86.06044,83.72208,270.0,top
C8,92.66444,92.38946,270.0,top
C80,123.942,92.138,0.0,top
C81,120.386,90.868,0.0,top
C82,7.61,37.7058,180.0,top
C83,23.81,80.28,180.0,top
C84,49.29952,85.2871,180.0,bottom
C85,46.37,74.25,270.0,bottom
C86,122.58,99.02,270.0,top
C87,119.17,31.71,270.0,top
C88,52.84232,70.3194,270.0,top
C89,49.31,82.22862,180.0,bottom
C9,63.39,80.75,0.0,bottom
C90,49.29648,86.82178,180.0,bottom
C91,71.5418,26.75078,0.0,top
C92,47.1578,12.24992,270.0,top
C93,85.842,22.796,270.0,top
C94,78.82,73.6826,270.0,top
C95,83.9,73.73,270.0,top
C96,86.19812,74.4526,0.0,top
C97,79.54,82.19,90.0,top
C98,78.3352,79.16516,270.0,top
C99,76.75024,79.16008,270.0,top
CHORDCV1,7.49,72.58954,270.0,bottom
CLKLED1,115.82416,92.1888,180.0,bottom
CLOCKIN1,123.3006,88.81,0.0,bottom
D1,93.14,27.54,270.0,top
D10,17.91,59.48,270.0,top
D11,21.95,10.16,0.0,top
D12,105.06,11.44,270.0,top
D13,103.73884,81.42682,90.0,top
D14,24.06,11.79,180.0,top
D15,3.31,73.56,270.0,top
D16,113.43,29.58,0.0,top
D17,8.15,87.49,180.0,top
D18,98.56,27.53,270.0,top
D19,103.78964,90.54034,270.0,top
D2,24.06,17.28,180.0,top
D20,126.03336,30.838401,0.0,top
D21,119.37,85.788,270.0,top
D22,114.29,98.234,180.0,top
D23,83.1496,105.092,270.0,top
D3,110.48,11.44,270.0,top
D4,21.95,15.68,0.0,top
D5,104.9682,59.36184,270.0,top
D6,88.63,59.36184,270.0,top
D7,71.97,59.23,270.0,top
D8,49.83,59.24,270.0,top
D9,33.264,59.118,270.0,top
DISPERSION1,114.9394,22.77,180.0,bottom
DISPPATT1,41.09,34.5106,270.0,bottom
ENC1,65.42,19.9287,0.0,bottom
ENV1,111.05,48.4194,90.0,bottom
ENV2,95.84,48.4194,90.0,bottom
ENV3,80.6,48.4194,90.0,bottom
ENV4,50.1,48.4194,90.0,bottom
ENV5,34.86,48.4194,90.0,bottom
ENV6,19.62,48.4194,90.0,bottom
FINE/SCALE1,122.01,103.0287,0.0,bottom
H1,17.12,85.935,270.0,top
IC10,115.5854,73.1896,270.0,top
IC11,123.942,89.344,180.0,top
IC12,96.54,30.99,90.0,top
